AuthorId,RecipeId,Rating,Like,TestSetId
2492191A,33671,2,NA,1
2002019979A,92647,2,NA,2
408594E,161770,NA,NA,3
2001625557E,108231,2,NA,4
2001427116E,71109,NA,NA,5
2001382952C,148927,NA,NA,6
588901B,87380,2,NA,7
1038235B,9475,2,NA,8
2001651474C,106171,2,NA,9
1803780486A,223201,NA,NA,10
1253053D,91246,2,NA,11
770900C,316025,NA,NA,12
770900C,78579,NA,NA,13
2000830025E,395405,2,NA,14
334917D,135585,NA,NA,15
452294B,26345,2,NA,16
184723B,247483,NA,NA,17
2002387639C,29884,NA,NA,18
1020399E,61718,NA,NA,19
2293840E,163034,2,NA,20
2002023650C,28785,NA,NA,21
975069A,54752,NA,NA,22
975069A,252449,NA,NA,23
693153C,50575,2,NA,24
2560001B,271830,NA,NA,25
2560001B,339,2,NA,26
2002452043A,217463,NA,NA,27
2001532404E,44147,2,NA,28
2001532404E,148641,NA,NA,29
2001605139B,26194,NA,NA,30
2001447886A,205660,2,NA,31
2000221123C,261889,NA,NA,32
1413501D,269553,2,NA,33
729622E,218856,2,NA,34
911464D,78088,NA,NA,35
1802641315A,27144,NA,NA,36
387442C,11642,2,NA,37
2001708541E,69846,NA,NA,38
2002342147B,264573,2,NA,39
186899B,249564,2,NA,40
1601235B,148303,2,NA,41
1601235B,10269,NA,NA,42
1601235B,50767,2,NA,43
1391890B,272988,NA,NA,44
1128887C,317761,2,NA,45
1495552B,59462,NA,NA,46
2001688957C,227219,2,NA,47
653210D,54114,NA,NA,48
2000550119A,385954,NA,NA,49
2000550119A,52381,2,NA,50
2000550119A,1209,2,NA,51
2000550119A,107356,2,NA,52
766163D,429838,2,NA,53
299636E,11180,2,NA,54
189446B,80427,2,NA,55
1322181A,73188,NA,NA,56
2000970416A,68406,NA,NA,57
2000401195D,380814,2,NA,58
2289542A,239303,NA,NA,59
2019134E,63689,2,NA,60
1064274D,4897,NA,NA,61
1637965C,373334,2,NA,62
2002802520C,258133,NA,NA,63
2002602259D,45809,2,NA,64
2001818660C,76560,NA,NA,65
2002256672A,391024,2,NA,66
805962D,100665,2,NA,67
433908D,193141,2,NA,68
2002288444C,98993,2,NA,69
2001808677D,104086,NA,NA,70
1266476B,88646,NA,NA,71
2002237678A,16570,2,NA,72
2293638A,52680,NA,NA,73
2001915655B,480112,2,NA,74
2001415894B,176016,NA,NA,75
1543417C,48635,2,NA,76
236349B,129125,2,NA,77
2000678936B,114575,NA,NA,78
402990C,184967,2,NA,79
2002788192D,23370,2,NA,80
843968C,145451,2,NA,81
2001432321B,22782,NA,NA,82
2001826168D,333876,2,NA,83
2001826168D,15741,2,NA,84
2001826168D,9023,NA,NA,85
2001826168D,262990,2,NA,86
2659614B,59528,2,NA,87
119426E,73283,2,NA,88
240012D,139724,NA,NA,89
1719428C,235379,NA,NA,90
1205448D,385946,NA,NA,91
325951D,380480,2,NA,92
2432120C,59528,NA,NA,93
347107A,131914,NA,NA,94
347107A,40057,2,NA,95
347107A,143049,NA,NA,96
1336864B,232030,2,NA,97
2001996781C,22782,2,NA,98
529021D,357655,2,NA,99
469683A,52624,2,NA,100
2000915800D,503921,NA,NA,101
2000337197D,30664,NA,NA,102
2058155B,149110,2,NA,103
1837059D,66229,2,NA,104
1837059D,307493,2,NA,105
1235548E,126979,2,NA,106
1235548E,50844,NA,NA,107
1651258C,18902,2,NA,108
126663B,271940,2,NA,109
261369D,93651,NA,NA,110
975468D,105016,2,NA,111
975468D,112941,2,NA,112
975468D,182629,2,NA,113
2001962375A,80156,NA,NA,114
421238D,77623,NA,NA,115
2001608430D,20956,2,NA,116
2001608430D,373058,NA,NA,117
124710D,176016,NA,NA,118
1802640303B,258751,NA,NA,119
886420B,40022,2,NA,120
605696E,167885,2,NA,121
2706452B,19844,2,NA,122
2706452B,10922,2,NA,123
2002493577B,130055,2,NA,124
2002493577B,127646,NA,NA,125
2001839320B,124343,2,NA,126
2001736804E,340610,NA,NA,127
2629923C,377716,2,NA,128
441346E,28148,NA,NA,129
2002230115E,13467,NA,NA,130
41229584B,352318,2,NA,131
2002211262E,27208,2,NA,132
394378A,41377,2,NA,133
394378A,24559,2,NA,134
1802455392A,252241,2,NA,135
27588B,191322,2,NA,136
274768B,101600,2,NA,137
2869716E,49014,2,NA,138
506334B,106146,NA,NA,139
270173B,63828,2,NA,140
2001343295B,34499,NA,NA,141
270196C,88646,NA,NA,142
2001967985D,94609,2,NA,143
1800250516E,94781,NA,NA,144
1874846B,285466,2,NA,145
1874846B,356112,2,NA,146
2002734897A,40339,NA,NA,147
847796B,22782,2,NA,148
2281853E,392569,NA,NA,149
310178E,9780,NA,NA,150
310178E,121490,2,NA,151
2001830620A,286157,2,NA,152
2223740C,69612,NA,NA,153
384088A,451348,2,NA,154
2001681092B,27208,2,NA,155
222617E,86338,2,NA,156
222617E,40106,NA,NA,157
222617E,145799,NA,NA,158
1201973D,420398,NA,NA,159
186233B,392591,2,NA,160
2487466B,73166,2,NA,161
2652673A,132765,NA,NA,162
77356D,42499,NA,NA,163
2488582C,85839,NA,NA,164
1938485D,25587,2,NA,165
2001154028B,201904,2,NA,166
2001404475A,314560,2,NA,167
2001267014A,131018,NA,NA,168
572039D,95086,2,NA,169
207183C,190872,2,NA,170
2944495B,270932,NA,NA,171
2002378808C,147574,2,NA,172
155091A,3595,2,NA,173
155091A,7751,2,NA,174
2001396206C,46797,2,NA,175
2001119576A,101568,NA,NA,176
2001826298A,30366,NA,NA,177
1071585E,59231,2,NA,178
2001250170D,50767,2,NA,179
44933574A,459093,NA,NA,180
332786D,104628,2,NA,181
332786D,188010,NA,NA,182
726484A,141287,NA,NA,183
726484A,30366,NA,NA,184
726484A,332822,2,NA,185
726484A,235962,2,NA,186
2001454894E,26217,NA,NA,187
600112E,207081,2,NA,188
2002216665C,404889,2,NA,189
1570211A,14200,2,NA,190
2001886997E,183582,2,NA,191
202260E,1209,2,NA,192
202260E,192597,NA,NA,193
2376080C,90529,NA,NA,194
2093071C,186273,2,NA,195
91962B,4627,NA,NA,196
91962B,22782,NA,NA,197
2002057291A,10146,2,NA,198
2001397516E,192282,NA,NA,199
2812270C,450527,2,NA,200
2002870726D,60350,NA,NA,201
16272C,44995,2,NA,202
166164C,9836,2,NA,203
2001923768A,226118,2,NA,204
597699C,160307,2,NA,205
2000307114B,225416,NA,NA,206
716424C,202833,NA,NA,207
1803404080E,443024,2,NA,208
1458767B,276911,NA,NA,209
1458767B,186412,NA,NA,210
1458767B,151130,NA,NA,211
188691D,393491,2,NA,212
2001836683B,11971,2,NA,213
2001442328A,57969,NA,NA,214
461392E,181181,2,NA,215
2505244D,147411,2,NA,216
885711E,62856,2,NA,217
2000543121E,27208,2,NA,218
2000543121E,72613,2,NA,219
2001189854D,152347,2,NA,220
2001189854D,916,NA,NA,221
2001189854D,130244,NA,NA,222
2001156081B,182036,NA,NA,223
231662E,202420,2,NA,224
183355A,518280,2,NA,225
2002461461E,26370,2,NA,226
1710118B,67117,2,NA,227
1984908B,261889,2,NA,228
240262A,364208,NA,NA,229
1802455927B,26793,NA,NA,230
2001466790B,54681,2,NA,231
243286B,250666,2,NA,232
402252E,22312,NA,NA,233
1716247C,370972,2,NA,234
144904E,150384,NA,NA,235
144904E,302814,2,NA,236
954863A,110916,2,NA,237
41010A,89433,2,NA,238
41010A,77623,2,NA,239
282423E,104703,NA,NA,240
2000357488A,32204,2,NA,241
647271A,369445,NA,NA,242
2002174546C,129818,2,NA,243
11733127C,49770,NA,NA,244
494712D,365081,NA,NA,245
2000151000D,63712,2,NA,246
312905B,318668,2,NA,247
2002200471B,154209,2,NA,248
2002698657D,162386,2,NA,249
330413E,280845,2,NA,250
1462290B,401130,NA,NA,251
2001162060D,55672,2,NA,252
2002110889A,193061,NA,NA,253
765787B,19739,NA,NA,254
1251006A,15191,2,NA,255
1171592E,13461,2,NA,256
704114D,35920,2,NA,257
1541123B,301225,NA,NA,258
2001916287D,28992,2,NA,259
2001122589E,15068,2,NA,260
1228447C,70954,2,NA,261
29280C,458008,NA,NA,262
2001338551A,252038,2,NA,263
2319232D,21151,2,NA,264
2002283225A,64213,2,NA,265
1570857D,17124,NA,NA,266
1803576230D,208556,NA,NA,267
1011914A,33919,NA,NA,268
1595964D,133387,2,NA,269
785006E,178370,NA,NA,270
922870A,145803,2,NA,271
1498138C,52865,NA,NA,272
702021E,486261,NA,NA,273
2001387313C,12455,2,NA,274
2002591892A,35450,2,NA,275
369692E,151512,2,NA,276
332296C,460750,2,NA,277
854411E,98918,2,NA,278
2002856373E,95570,NA,NA,279
2000548133D,153267,2,NA,280
2000548133D,153650,2,NA,281
2000548133D,136077,2,NA,282
253542C,280351,NA,NA,283
284026D,429522,NA,NA,284
2000475980D,59894,2,NA,285
312457D,128956,2,NA,286
1063952D,146427,2,NA,287
1832967E,69296,2,NA,288
1832967E,30380,2,NA,289
358266A,380982,2,NA,290
2000804440A,137847,2,NA,291
2472811A,99476,NA,NA,292
39731A,11581,2,NA,293
2001141168C,369960,2,NA,294
1595450C,191913,2,NA,295
1595450C,39892,2,NA,296
165629C,507949,NA,NA,297
441539B,475907,NA,NA,298
866364B,129670,NA,NA,299
253845E,53198,2,NA,300
131020E,429784,NA,NA,301
10226D,232433,NA,NA,302
87208E,49172,2,NA,303
707361D,109264,2,NA,304
707361D,173691,2,NA,305
707361D,171002,NA,NA,306
1783844D,68756,2,NA,307
1783844D,293120,NA,NA,308
1735397D,29612,2,NA,309
1811929D,287118,2,NA,310
2441472B,486156,2,NA,311
2001242450D,13380,2,NA,312
2887894D,57682,NA,NA,313
1929868C,190598,NA,NA,314
2001976234B,294889,NA,NA,315
2640796D,21307,NA,NA,316
2000991886D,418807,2,NA,317
53802B,9054,2,NA,318
2537127E,126166,2,NA,319
347136D,281383,2,NA,320
1801294244A,129067,NA,NA,321
2000581393E,5136,2,NA,322
167554E,32204,2,NA,323
299901E,95197,2,NA,324
299901E,72861,2,NA,325
1800249207C,393795,2,NA,326
429656C,183432,2,NA,327
175827C,166903,NA,NA,328
1218676A,9369,2,NA,329
499696D,18955,NA,NA,330
1426602A,82486,2,NA,331
2000589467E,121338,NA,NA,332
1124050C,261637,2,NA,333
688182E,340909,2,NA,334
37184C,431071,NA,NA,335
543556B,206399,NA,NA,336
2447247A,7142,NA,NA,337
2447247A,212031,NA,NA,338
193664C,38298,NA,NA,339
2002014026E,275170,2,NA,340
2001210911A,21882,NA,NA,341
1802702787B,9989,NA,NA,342
2371270E,104171,2,NA,343
2371270E,109275,2,NA,344
2371270E,39280,NA,NA,345
1795184A,430483,2,NA,346
645433B,31847,2,NA,347
164196A,175573,2,NA,348
2000598126D,55716,2,NA,349
1031111A,347136,NA,NA,350
2000743164A,12244,NA,NA,351
2279739B,271950,2,NA,352
2001756740E,146427,2,NA,353
351201B,15107,NA,NA,354
174744B,131018,2,NA,355
2002046847B,150807,NA,NA,356
468204A,7058,NA,NA,357
1800205681E,17586,2,NA,358
1087458A,161219,2,NA,359
1087458A,275970,NA,NA,360
10487977D,169500,NA,NA,361
2000915303C,105432,2,NA,362
1566875D,472957,NA,NA,363
2001373303E,427796,2,NA,364
2002724809B,15411,2,NA,365
2001519951E,174340,2,NA,366
303234D,54225,NA,NA,367
2000106068D,334310,2,NA,368
2000191981A,38298,2,NA,369
1335333A,66033,NA,NA,370
242264C,7553,2,NA,371
242264C,77417,NA,NA,372
1513629E,80594,NA,NA,373
1257600A,76003,NA,NA,374
1493428E,163805,NA,NA,375
1803337635C,75947,2,NA,376
2002689945B,59183,2,NA,377
2001291273E,9693,NA,NA,378
101043D,226300,NA,NA,379
1983761E,165844,2,NA,380
365429D,329954,NA,NA,381
2001924397E,89204,NA,NA,382
439400E,500090,2,NA,383
121187E,15846,NA,NA,384
2001612793C,392511,2,NA,385
59499E,27208,NA,NA,386
2001175167E,128956,NA,NA,387
840205C,39038,2,NA,388
840205C,59319,2,NA,389
840205C,104115,NA,NA,390
2002759393B,51404,NA,NA,391
2001408277E,32042,2,NA,392
2831470E,117988,2,NA,393
1321274A,148380,NA,NA,394
1818136D,48635,NA,NA,395
1818136D,32204,NA,NA,396
1818136D,59635,NA,NA,397
1818136D,162439,2,NA,398
1818136D,160852,NA,NA,399
1818136D,78925,NA,NA,400
1818136D,82486,NA,NA,401
2002430097E,304233,2,NA,402
2416487E,121668,2,NA,403
1820859B,11872,2,NA,404
343165D,147956,2,NA,405
2191500C,11433,2,NA,406
2002882289C,76386,2,NA,407
2002882289C,25706,NA,NA,408
2002882289C,173082,2,NA,409
2002882289C,74629,2,NA,410
2002882289C,66887,NA,NA,411
2002882289C,138703,2,NA,412
2002882289C,19464,2,NA,413
2002882289C,125981,NA,NA,414
2002882289C,34319,2,NA,415
2002882289C,14988,NA,NA,416
2000729009D,85650,2,NA,417
2000729009D,337038,2,NA,418
307905E,249427,2,NA,419
499799A,31693,2,NA,420
460501A,95452,2,NA,421
1424514D,192346,2,NA,422
2001640789E,30415,2,NA,423
2001640789E,12656,NA,NA,424
2001514226C,54225,NA,NA,425
1800204000D,46250,2,NA,426
981722A,412187,2,NA,427
2002728937E,27764,2,NA,428
2000539110A,235379,NA,NA,429
2001614686A,153891,2,NA,430
735772D,447301,2,NA,431
2205357D,20890,2,NA,432
2884360A,437052,2,NA,433
1882399C,64097,2,NA,434
829251C,71201,2,NA,435
829251C,186485,NA,NA,436
103759B,176634,2,NA,437
2001069880C,38298,NA,NA,438
1800556084A,47325,NA,NA,439
1800556084A,42071,2,NA,440
2481569E,53914,NA,NA,441
2001029960B,322980,NA,NA,442
2630038C,453529,NA,NA,443
288619B,286704,NA,NA,444
1712662A,63857,2,NA,445
746847C,176514,2,NA,446
811451A,13872,NA,NA,447
2000098669E,97764,2,NA,448
615647A,11200,NA,NA,449
2537843D,432871,2,NA,450
2537843D,203463,NA,NA,451
2537843D,338030,2,NA,452
1280039D,67186,2,NA,453
2001939950D,9319,2,NA,454
2027912A,375289,NA,NA,455
1201472D,396587,NA,NA,456
